country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"CB, other private creditors (NFL, current US$)",DT.NFL.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (NTR, current US$)",DT.NTR.PROP.CB.CD,0
Afghanistan,AFG,"CB, other private creditors (TDS, current US$)",DT.TDS.PROP.CB.CD,0
Afghanistan,AFG,"CB, private creditors (AMT, current US$)",DT.AMT.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (DIS, current US$)",DT.DIS.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (DOD, current US$)",DT.DOD.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (INT, current US$)",DT.INT.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (NFL, current US$)",DT.NFL.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (NTR, current US$)",DT.NTR.PRVT.CB.CD,0
Afghanistan,AFG,"CB, private creditors (TDS, current US$)",DT.TDS.PRVT.CB.CD,0
Afghanistan,AFG,"Commitments, bilateral creditors (COM, current US$)",DT.COM.BLAT.CD,359958620
Afghanistan,AFG,"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD,0
Afghanistan,AFG,"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD,0
Afghanistan,AFG,"Commitments, multilateral creditors (COM, current US$)",DT.COM.MLAT.CD,278932479
Afghanistan,AFG,"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD,638891099
Afghanistan,AFG,"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD,0
Afghanistan,AFG,"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD,638891099
Afghanistan,AFG,Concessional debt (% of total external debt),DT.DOD.ALLC.ZS,638
Afghanistan,AFG,"Currency composition of PPG debt, all other currencies (%)",DT.CUR.OTHC.ZS,87
Afghanistan,AFG,"Currency composition of PPG debt, Deutsche mark (%)",DT.CUR.DMAK.ZS,0
Afghanistan,AFG,"Currency composition of PPG debt, Euro (%)",DT.CUR.EURO.ZS,4
Afghanistan,AFG,"Currency composition of PPG debt, French franc (%)",DT.CUR.FFRC.ZS,0
Afghanistan,AFG,"Currency composition of PPG debt, Japanese yen (%)",DT.CUR.JYEN.ZS,0
Afghanistan,AFG,"Currency composition of PPG debt, Multiple currencies (%)",DT.CUR.MULC.ZS,0
Afghanistan,AFG,"Currency composition of PPG debt, Pound sterling (%)",DT.CUR.UKPS.ZS,4
Afghanistan,AFG,"Currency composition of PPG debt, SDR (%)",DT.CUR.SDRW.ZS,322
Afghanistan,AFG,"Currency composition of PPG debt, Swiss franc (%)",DT.CUR.SWFR.ZS,0
Afghanistan,AFG,"Currency composition of PPG debt, U.S. dollars (%)",DT.CUR.USDL.ZS,1183
Afghanistan,AFG,Current account balance (current US$),BN.CAB.XOKA.CD,-30678117209
Afghanistan,AFG,Debt buyback (current US$),DT.DSB.DPPG.CD,0
Afghanistan,AFG,Debt forgiveness grants (current US$),DT.DOD.MDRI.CD,216000000
Afghanistan,AFG,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-301305422
Afghanistan,AFG,"Debt service on external debt, central bank (PPG) (TDS, current US$)",DT.TDS.DECB.CD,0
Afghanistan,AFG,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,1240247999
Afghanistan,AFG,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,1296447999
Afghanistan,AFG,"Debt service on external debt, other public sector (PPG) (TDS, current US$)",DT.TDS.DOPS.CD,0
Afghanistan,AFG,"Debt service on external debt, private guaranteed by public sector (PPG) (TDS, current US$)",DT.TDS.PRPG.CD,0
Afghanistan,AFG,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",DT.TDS.DPNG.CD,56200000
Afghanistan,AFG,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,1240247999
Afghanistan,AFG,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,1240247999
Afghanistan,AFG,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,1920973890
Afghanistan,AFG,Debt stock reduction (current US$),DT.DSF.DPPG.CD,85696000
Afghanistan,AFG,Debt stock rescheduled (current US$),DT.DXR.DPPG.CD,74090000
Afghanistan,AFG,"Disbursements on external debt, central bank (PPG) (DIS, current US$)",DT.DIS.DECB.CD,0
Afghanistan,AFG,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)",DT.DIS.DEGG.CD,843584599
Afghanistan,AFG,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,1209522338
Afghanistan,AFG,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,1528514346
Afghanistan,AFG,"Disbursements on external debt, other public sector (PPG) (DIS, current US$)",DT.DIS.DOPS.CD,0
Afghanistan,AFG,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)",DT.DIS.PRPG.CD,0
Afghanistan,AFG,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,0
Afghanistan,AFG,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,1209522338
Afghanistan,AFG,"Disbursements on external debt, public sector (PPG) (DIS, current US$)",DT.DIS.DEPS.CD,843584599
Afghanistan,AFG,"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD,0
Afghanistan,AFG,"Exports of goods, services and primary income (current US$)",BX.GSR.TOTL.CD,33259949373
Afghanistan,AFG,"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,1867
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,173
Afghanistan,AFG,"External debt stocks, central bank (PPG) (DOD, current US$)",DT.DOD.DECB.CD,0
Afghanistan,AFG,"External debt stocks, concessional (DOD, current US$)",DT.DOD.ALLC.CD,15336685042
Afghanistan,AFG,"External debt stocks, general government sector (PPG) (DOD, current US$)",DT.DOD.DEGG.CD,30816576790
Afghanistan,AFG,"External debt stocks, long-term (DOD, current US$)",DT.DOD.DLXF.CD,30946496790
Afghanistan,AFG,"External debt stocks, long-term private sector (DOD, current US$)",DT.DOD.PRVS.CD,128332000
Afghanistan,AFG,"External debt stocks, long-term public sector (DOD, current US$)",DT.DOD.PUBS.CD,30818164790
